Ticker,currentRatio,quickRatio,operatingCashFlow,freeCashflow,cashConversionCycle,Score
MMM,0.018315688278691566,0.11461093100123398,0.0,0.8214966905191615,0.0,0.9544233097990871
AOS,0.025449845494179005,-0.04420026030798209,0.0,-0.2900348127184002,0.0,-0.3087852275322033
ABT,-0.012166619823845906,-0.09435116282668181,0.0,0.25625153745312973,0.0,0.149733754802602
ABBV,-0.44021605275309617,-0.27990950214587096,0.0,2.756602198579714,0.0,2.036476643680747
ACN,-0.23008269476964607,0.05860908985535243,0.0,0.772192631788508,0.0,0.6007190268742144
ADBE,-0.3669288013576337,-0.106053040081045,0.0,0.5356014148943823,0.0,0.06261957345570357
AMD,0.6642811961537418,0.5492520861632987,0.0,-0.03604124229945831,0.0,1.1774920400175821
AES,-0.5426884927573713,-0.5197979858603182,0.0,-1.19376598113094,0.0,-2.2562524597486293
AFL,-0.05432300336990854,0.25252591292765836,0.0,0.2821867186837904,0.0,0.48038962824154025
A,0.6928178250156919,0.6888387648403462,0.0,-0.21513695255405377,0.0,1.1665196373019844
APD,-0.079616833497546,0.12464111150497395,0.0,-0.7132516599550929,0.0,-0.668227381947665
ABNB,-0.11204482084067105,-0.21805672237280782,0.0,0.05455917492342663,0.0,-0.2755423682900522
AKAM,1.0573084027524173,1.586539919925072,0.0,-0.2773438835151453,0.0,2.366504439162344
ALB,0.793993145526242,0.4890710031408589,0.0,-0.6821357745398976,0.0,0.6009283741272032
ARE,0.8997083842648295,1.4912532051395426,0.0,-0.1562452094916689,0.0,2.234716379912703
ALGN,-0.25213372616297114,-0.03417007980424213,0.0,-0.28710183883570034,0.0,-0.5734056448029137
ALLE,-0.2008975061608336,-0.1996680581159513,0.0,-0.29452618526900365,0.0,-0.6950917495457886
LNT,-0.6853716370671213,-0.691146902799209,0.0,-0.4909673825883098,0.0,-1.86748592245464
ALL,-0.8021123915023713,-0.6869676609226507,0.0,0.6566267144700378,0.0,-0.8324533379549842
GOOGL,0.34648692019111677,0.7724236023715125,0.0,6.894732979972517,0.0,8.013643502535146
GOOG,0.34648692019111677,0.7724236023715125,0.0,6.894732979972517,0.0,8.013643502535146
MO,-0.7392020960567088,-0.5891734010111862,0.0,1.4191402409233271,0.0,0.09076474385543198
AMZN,-0.3520119271797961,-0.1913095743628347,0.0,7.184920854461592,0.0,6.641599352918961
