Ticker,revenueGrowth,pegRatio,priceToSalesTrailing12Months,ebitdaMargins,returnOnCapitalEmployed,priceEarningsToSalesGrowth,Score
MMM,-0.24764804151747855,-0.4914966200112434,-0.6116018136244352,-0.014802216670462817,0.0,0.0,0.5930001339302587
AOS,-0.17209567464360942,0.10615586386888941,-0.2485315121067677,-0.2176121057105184,0.0,0.0,-0.41942780675985897
ABT,-0.12959746827705804,0.1929315823872727,0.058050549555600996,0.028182144313790642,0.0,0.0,-0.4819949241831991
ABBV,-0.20042781222131034,0.13548850111454014,0.28356876784809293,1.2841947054625344,0.0,0.0,0.4642818120572807
ACN,-0.2382039956582449,0.26137440262712436,-0.32159350595661523,-0.43636504470762866,0.0,0.0,-0.8525539326946275
ADBE,0.3001066183180726,0.09515612490177042,1.634915459766331,0.7243268950702396,0.0,0.0,-0.40553145296171655
AMD,-0.12959746827705804,0.08048980627894506,1.8316400884944841,-0.472138445754027,0.0,0.0,-2.6434632770815725
AES,-0.4601390733502354,0.03160207753619391,-0.7539485439594538,0.11443265927762673,0.0,0.0,-0.08349902099958424
AFL,0.39454707691040897,0.07315664696753241,-0.41045928374095386,0.42146432423774255,0.0,0.0,1.5478611148319819
A,-0.49791525678717,0.27726291446851853,0.6074554859967889,-0.048434847260541335,0.0,0.0,-1.9289837613001888
APD,-0.6301318988164409,0.2405971179114551,0.13601348201201394,0.4873774071944103,0.0,0.0,-1.1494969903619408
ABNB,0.6070381087431658,0.06460129443755094,1.1811309327388477,-0.5081371910589855,0.0,0.0,-0.5397932007490526
AKAM,0.13483581578148388,0.13548850111454014,-0.1289425928598354,0.1914440596405034,0.0,0.0,0.4545697829487664
ALB,-2.466998818437384,-0.8972647685760781,-0.5989253402838094,-1.6329430576611752,0.0,0.0,-5.0707505856760555
ARE,0.2245542514442035,-0.8508214262704646,0.7652746063400643,1.9812408332532234,0.0,0.0,2.515896156072031
ALGN,0.040395357189147496,0.14648824008165912,0.23823913104921643,-0.2453295058494618,0.0,0.0,-0.5492661626020423
ALLE,-0.38458670647636634,0.1770430705458786,-0.3096580298309206,-0.11936200897836272,0.0,0.0,-0.7559204626460534
LNT,-0.4365289587021513,0.18070965020158497,-0.22486225638267895,0.8666316816787442,0.0,0.0,0.03772637045553562
ALL,0.27177448074037164,-0.13706058662629758,-0.8639609853263895,-1.1583117018019835,0.0,0.0,0.38625883163144703
GOOGL,0.49370955843236214,-0.006285912239438245,0.645154081157708,0.5227000070515592,0.0,0.0,0.8712509549980136
GOOG,0.49370955843236214,-0.005063719020869465,0.6444802336453154,0.5227000070515592,0.0,0.0,0.8707026092918375
MO,-0.2807022020247963,0.15137701295593425,-0.09563505381840998,1.9688468990324242,0.0,0.0,1.3517005358453074
AMZN,0.3567708934734744,0.013269179257662236,-0.24791895045037618,-0.49889807645802586,0.0,0.0,0.44929348168163685
AMCR,-0.5640235778018056,0.18559842307586008,-0.7863957305298516,-0.6560193607389788,0.0,0.0,-1.1832692088885985
AEE,-0.8190128160011138,0.26748536871996825,-0.35028711322620115,1.1493261667143808,0.0,0.0,-0.4058977207816139
AAL,-0.08709926191050667,-0.13461620018916,-1.00796455910854,-0.7924089732324128,0.0,0.0,0.1759732622442739
AEP,0.10178165527416612,0.17582087732730986,-0.4272857522018723,0.71942565744656,0.0,0.0,1.1744538428694546
AXP,0.23399829730343713,-0.00017494614659434472,-0.2934416488295427,-1.4202180775805446,0.0,0.0,-0.6586048879975333
AIG,0.49370955843236214,-0.012396878332282119,-0.7795209271594281,-0.13350236120300216,0.0,0.0,1.6458345611534324
AMT,-0.1201534224178244,-0.042951708796501606,0.9516199792779182,2.099039544415458,0.0,0.0,0.9500644290983926
AWK,0.13483581578148388,0.268707561938537,0.44406224756770546,1.5712267294590636,0.0,0.0,1.1281285515157888
AMP,0.3567708934734744,-0.06250680029360207,-0.4093423323145003,-1.4202180775805446,0.0,0.0,-0.23482715802549348
AME,0.17733402214803523,0.19537596882441027,0.3651979651984426,0.31420034449105777,0.0,0.0,0.10829445476427535
AMGN,0.8053630717870723,0.19659816204297909,0.3513706686764718,0.8309710654337549,0.0,0.0,1.8937283782884484
APH,0.21511020558496982,0.25770782297141803,0.4740400124869413,-0.06178649458022064,0.0,0.0,-0.3633139188686403
ADI,-1.3053811777516462,-3.0617689586613857,1.217593419152965,1.3463334974325811,0.0,0.0,0.5797466814377095
ANSS,-0.6301318988164409,0.5192571717451367,2.1253641202512945,0.2940320333499388,0.0,0.0,-3.610853056279374
AON,0.007341196681829726,0.07682322662323875,0.10600580405284835,0.4086759248923336,0.0,0.0,0.240529287579906
APA,-0.2570920873767122,-0.2702796474502945,-0.702088808895447,2.024225025229283,0.0,0.0,2.4824093068216
AAPL,-0.4365289587021513,0.17093210445303472,0.8346671683240056,0.4934053661108898,0.0,0.0,-1.385251824070453
AMAT,-0.22403792686939444,0.07315664696753241,0.5922489731821498,0.30276412336913844,0.0,0.0,-0.8107173505193326
APTV,-0.15320758292514214,-0.08450627822784008,-0.7784354722588889,-0.6169221318788206,0.0,0.0,-0.060395547242375947
ACGL,0.9186916220978759,-0.07717311891642742,-0.401710276255834,0.16738856003922448,0.0,0.0,2.483655199407238
ADM,-0.6679080822533755,-0.4694971420770055,-0.9707557089465213,-1.1427066231639171,0.0,0.0,-1.0382699366471413
ANET,0.5362077647989136,0.10493367065032067,3.026158328488621,0.8983488297349979,0.0,0.0,-1.1603276398061162
AJG,0.7062005902651192,0.141599467207384,0.3294455732805866,0.35774812245777593,0.0,0.0,1.2991042625000437
