Ticker,revenueGrowth,pegRatio,priceToSalesTrailing12Months,ebitdaMargins,freeCashflow,returnOnCapitalEmployed,Score
MMM,-0.24764804151747855,-0.4914966200112434,-0.6116018136244352,-0.014802216670462817,0.8214966905191615,0.0,1.4144968244494203
AOS,-0.17209567464360942,0.10615586386888941,-0.2485315121067677,-0.2176121057105184,-0.2900348127184002,0.0,-0.7094626194782592
ABT,-0.12959746827705804,0.1929315823872727,0.058050549555600996,0.028182144313790642,0.25625153745312973,0.0,-0.22574338673006938
ABBV,-0.20042781222131034,0.13548850111454014,0.28356876784809293,1.2841947054625344,2.756602198579714,0.0,3.2208840106369947
ACN,-0.2382039956582449,0.26137440262712436,-0.32159350595661523,-0.43636504470762866,0.772192631788508,0.0,-0.08036130090611948
ADBE,0.3001066183180726,0.09515612490177042,1.634915459766331,0.7243268950702396,0.5356014148943823,0.0,0.13006996193266573
AMD,-0.12959746827705804,0.08048980627894506,1.8316400884944841,-0.472138445754027,-0.03604124229945831,0.0,-2.6795045193810307
AES,-0.4601390733502354,0.03160207753619391,-0.7539485439594538,0.11443265927762673,-1.19376598113094,0.0,-1.2772650021305243
AFL,0.39454707691040897,0.07315664696753241,-0.41045928374095386,0.42146432423774255,0.2821867186837904,0.0,1.8300478335157724
A,-0.49791525678717,0.27726291446851853,0.6074554859967889,-0.048434847260541335,-0.21513695255405377,0.0,-2.1441207138542424
APD,-0.6301318988164409,0.2405971179114551,0.13601348201201394,0.4873774071944103,-0.7132516599550929,0.0,-1.8627486503170336
ABNB,0.6070381087431658,0.06460129443755094,1.1811309327388477,-0.5081371910589855,0.05455917492342663,0.0,-0.4852340258256259
AKAM,0.13483581578148388,0.13548850111454014,-0.1289425928598354,0.1914440596405034,-0.2773438835151453,0.0,0.1772258994336211
ALB,-2.466998818437384,-0.8972647685760781,-0.5989253402838094,-1.6329430576611752,-0.6821357745398976,0.0,-5.752886360215953
ARE,0.2245542514442035,-0.8508214262704646,0.7652746063400643,1.9812408332532234,-0.1562452094916689,0.0,2.359650946580362
ALGN,0.040395357189147496,0.14648824008165912,0.23823913104921643,-0.2453295058494618,-0.28710183883570034,0.0,-0.8363680014377426
ALLE,-0.38458670647636634,0.1770430705458786,-0.3096580298309206,-0.11936200897836272,-0.29452618526900365,0.0,-1.0504466479150572
LNT,-0.4365289587021513,0.18070965020158497,-0.22486225638267895,0.8666316816787442,-0.4909673825883098,0.0,-0.4532410121327742
ALL,0.27177448074037164,-0.13706058662629758,-0.8639609853263895,-1.1583117018019835,0.6566267144700378,0.0,1.042885546101485
GOOGL,0.49370955843236214,-0.006285912239438245,0.645154081157708,0.5227000070515592,6.894732979972517,0.0,7.765983934970531
GOOG,0.49370955843236214,-0.005063719020869465,0.6444802336453154,0.5227000070515592,6.894732979972517,0.0,7.765435589264355
MO,-0.2807022020247963,0.15137701295593425,-0.09563505381840998,1.9688468990324242,1.4191402409233271,0.0,2.7708407767686345
AMZN,0.3567708934734744,0.013269179257662236,-0.24791895045037618,-0.49889807645802586,7.184920854461592,0.0,7.634214336143229
AMCR,-0.5640235778018056,0.18559842307586008,-0.7863957305298516,-0.6560193607389788,-0.2506765155607917,0.0,-1.4339457244493903
AEE,-0.8190128160011138,0.26748536871996825,-0.35028711322620115,1.1493261667143808,-0.5091565326579506,0.0,-0.9150542534395645
AAL,-0.08709926191050667,-0.13461620018916,-1.00796455910854,-0.7924089732324128,-0.30363227505679563,0.0,-0.12765901281252173
AEP,0.10178165527416612,0.17582087732730986,-0.4272857522018723,0.71942565744656,-0.45149396737201614,0.0,0.7229598754974385
AXP,0.23399829730343713,-0.00017494614659434472,-0.2934416488295427,-1.4202180775805446,-0.34989455706707223,0.0,-1.0084994450646054
AIG,0.49370955843236214,-0.012396878332282119,-0.7795209271594281,-0.13350236120300216,0.5186621396855096,0.0,2.164496700838942
AMT,-0.1201534224178244,-0.042951708796501606,0.9516199792779182,2.099039544415458,0.2888275693277827,0.0,1.2388919984261753
AWK,0.13483581578148388,0.268707561938537,0.44406224756770546,1.5712267294590636,-0.4753766849344162,0.0,0.6527518665813726
AMP,0.3567708934734744,-0.06250680029360207,-0.4093423323145003,-1.4202180775805446,0.10961998703810029,0.0,-0.1252071709873932
AME,0.17733402214803523,0.19537596882441027,0.3651979651984426,0.31420034449105777,-0.19405770474221162,0.0,-0.08576324997793627
AMGN,0.8053630717870723,0.19659816204297909,0.3513706686764718,0.8309710654337549,0.15570136322737543,0.0,2.049429741515824
APH,0.21511020558496982,0.25770782297141803,0.4740400124869413,-0.06178649458022064,-0.11341913606535313,0.0,-0.4767330549339934
ADI,-1.3053811777516462,-3.0617689586613857,1.217593419152965,1.3463334974325811,0.043541050931860135,0.0,0.6232877323695696
ANSS,-0.6301318988164409,0.5192571717451367,2.1253641202512945,0.2940320333499388,-0.2612299908514574,0.0,-3.8720830471308316
AON,0.007341196681829726,0.07682322662323875,0.10600580405284835,0.4086759248923336,0.01850977149425319,0.0,0.2590390590741592
APA,-0.2570920873767122,-0.2702796474502945,-0.702088808895447,2.024225025229283,-0.18902088655312835,0.0,2.293388420268472
AAPL,-0.4365289587021513,0.17093210445303472,0.8346671683240056,0.4934053661108898,10.79737492945039,0.0,9.412123105379937
AMAT,-0.22403792686939444,0.07315664696753241,0.5922489731821498,0.30276412336913844,0.27583855748279246,0.0,-0.5348787930365402
APTV,-0.15320758292514214,-0.08450627822784008,-0.7784354722588889,-0.6169221318788206,-0.21059788324424894,0.0,-0.2709934304866249
