Ticker,debtToEquity,interestCoverageRatio,currentRatio,quickRatio,beta,Score
MMM,0.6341085394660796,0.0,0.018315688278691566,0.11461093100123398,-0.013920489470379724,0.4872614307157743
AOS,-0.31036975787063414,0.0,0.025449845494179005,-0.04420026030798209,0.4758571465328058,0.18423780347597474
ABT,-0.24668059749163782,0.0,-0.012166619823845906,-0.09435116282668181,-0.6782947827524788,-0.8184575975935888
ABBV,1.6414047976301174,0.0,-0.44021605275309617,-0.27990950214587096,-1.036558053532587,1.3249722989964978
ACN,-0.3028420825268424,0.0,-0.23008269476964607,0.05860908985535243,0.35568022658757986,0.2243117489750311
ADBE,-0.2706119592594647,0.0,-0.3669288013576337,-0.106053040081045,0.523474416699782,0.725844298878996
AMD,-0.3155437033743326,0.0,0.6642811961537418,0.5492520861632987,1.382852768760927,-0.14622421693044596
AES,0.5073287690113143,0.0,-0.5426884927573713,-0.5197979858603182,0.04956920408558884,1.6193844517145926
AFL,-0.2204721884848428,0.0,-0.05432300336990854,0.25252591292765836,-0.31776402291680045,-0.736439120959393
A,-0.23331226402880903,0.0,0.6928178250156919,0.6888387648403462,0.17201361308638485,-1.442955240798462
APD,-0.13992776636407392,0.0,-0.079616833497546,0.12464111150497395,-0.5490479065849714,-0.7339999509564732
ABNB,-0.26513128335126546,0.0,-0.11204482084067105,-0.21805672237280782,0.4441122997548215,0.509082559617035
AKAM,-0.11669506829538785,0.0,1.0573084027524173,1.586539919925072,-0.7576568996974395,-3.518200290670317
ALB,-0.26069647291952397,0.0,0.793993145526242,0.4890710031408589,1.3647128563163646,-0.17904776527026023
ARE,-0.20897618853282127,0.0,0.8997083842648295,1.4912532051395426,0.07451158369686195,-2.5254261942403318
ALGN,-0.31974633593044494,0.0,-0.25213372616297114,-0.03417007980424213,1.3873877468720677,1.353945216908836
ALLE,0.014417269122952058,0.0,-0.2008975061608336,-0.1996680581159513,0.22416586136450212,0.6391486947642391
LNT,-0.024848482797664013,0.0,-0.6853716370671213,-0.691146902799209,-1.165804929700094,0.18586512736857208
ALL,-0.2353890844759502,0.0,-0.8021123915023713,-0.6869676609226507,-1.2156896889226407,0.03800127902643102
GOOGL,-0.30626723871043526,0.0,0.34648692019111677,0.7724236023715125,-0.07060771585963761,-1.4957854771327022
GOOG,-0.30626723871043526,0.0,0.34648692019111677,0.7724236023715125,-0.07060771585963761,-1.4957854771327022
MO,-0.3269076388466384,0.0,-0.7392020960567088,-0.5891734010111862,-0.8347515275868297,0.16671633063442692
AMZN,-0.169054374358134,0.0,-0.3520119271797961,-0.1913095743628347,0.23777079569792395,0.6120379228824208
AMCR,0.08539553675335056,0.0,-0.21386870109808362,-0.3726886718054655,-0.4583483443621594,0.2136045652947403
AEE,-0.010600429494148696,0.0,-0.6613749264332088,-0.6585488161620542,-1.3766814118681323,-0.06735809876701793
AAL,-0.3269076388466384,0.0,-0.6698062031424215,-0.5106036537318898,1.2014536443153032,2.0549558623429762
AEP,0.03731128570333508,0.0,-0.6996399514980963,-0.6577129677867425,-1.2474345357006251,0.14722966928754877
AXP,0.04889035847324225,0.0,0.004047373847716545,0.46817479375806736,0.3466102703652986,-0.07672153876724302
AIG,-0.23176796164503738,0.0,-0.5206374613640462,-0.6995053865523256,-0.052467803415075176,0.9359070828562592
AMT,0.6288941225895652,0.0,-0.6574835679520339,-0.44122823858102184,-0.7825992793087129,0.945006649813908
AWK,-0.045848865144704945,0.0,-0.49274939224895875,-0.28910383427429925,-0.9866732943100401,-0.25066893293148707
AMP,-0.154633785202087,0.0,0.9684557174322547,0.9880724832019218,0.6821986505897034,-1.4289633352465598
AME,-0.25168626728731147,0.0,-0.32801521654588367,-0.3818830039338938,0.3738201390321423,0.8320320922246083
AMGN,2.388489299237012,0.0,-0.12501601577792107,-0.18545863573565305,-1.022953119199165,1.6760108315514213
APH,-0.2221762462876253,0.0,0.2868194234797667,0.2057184039102052,0.5189394385886413,-0.19577463508895587
ADI,-0.2847982404676291,0.0,-0.06729419830715856,-0.16957751660473144,0.21282841608665035,0.16490189053091125
ANSS,-0.2925815244818382,0.0,0.7712935543860544,1.3717268874699746,0.23777079569792395,-2.1978311706399434
AON,-0.3269076388466384,0.0,-0.1970061476796586,-0.48803574759847496,-0.35857882591706597,-0.00044456948557086706
APA,-0.017921487829353083,0.0,-0.29234443046844616,-0.22474350937530113,5.085662396507233,5.584828848521628
AAPL,-0.02663561341833217,0.0,-0.3747115183199837,-0.15286054909849817,0.48492710275508705,0.9858635567552367
AMAT,-0.26180837063583956,0.0,0.768050755651742,0.6136124110622967,1.1991861552597325,-0.4442853820901458
APTV,-0.20062204515468002,0.0,-0.20997734261690862,-0.1745926068566014,1.9474575435979329,2.131405447916763
ACGL,-0.29689918093963846,0.0,0.11235685157375414,-0.1428303685947582,-1.0977802580329852,-1.3642059219516196
ADM,-0.22476215400334776,0.0,-0.09388514792852103,-0.5824866140086928,-0.6125376001409399,-0.16092799220707382
ANET,-0.3269076388466384,0.0,2.1994221169772805,2.181663963146976,0.19242101458651784,-4.515572704384377
AJG,-0.1650498385215951,0.0,-0.36887448059822114,-0.7596864695747654,-0.8075416589199862,0.15596945273140528
AIZ,-0.23680345245225967,0.0,-0.7891411965651214,-0.770552498453817,-1.1884798202557971,0.13441042231088174
T,-0.05829487732177772,0.0,-0.6068959076967588,-0.5440375887443564,-0.7939367245865644,0.2987018945327732
ATO,-0.18875328255829985,0.0,-0.166523839577121,0.0009355519588477415,-0.8937062430316576,-0.9168712379716841
