Ticker,forwardPE,priceToBook,priceToSalesTrailing12Months,pegRatio,enterpriseValueToEBITDA,Score
MMM,-0.4429240210304747,0.02962336487752245,-0.6116018136244352,-0.4914966200112434,0.0,1.5163990897886308
AOS,-0.013982362461752256,-0.0566183311497704,-0.2485315121067677,0.10615586386888941,0.0,0.21297634184940095
ABT,0.02468928958146645,-0.08941504762227533,0.058050549555600996,0.1929315823872727,0.0,-0.18625637390206481
ABBV,-0.4253215526722655,0.4326379919526123,0.28356876784809293,0.13548850111454014,0.0,-0.4263737082429799
ACN,0.2273980764093843,-0.05074231314691049,-0.32159350595661523,0.26137440262712436,0.0,-0.11643665993298294
ADBE,0.26752718437408335,0.06540934631657816,1.634915459766331,0.09515612490177042,0.0,-2.063008115358763
AMD,0.660605034312805,-0.08828804224746735,1.8316400884944841,0.08048980627894506,0.0,-2.484446886838767
AES,-0.6742340986351013,-0.08047410267633778,-0.7539485439594538,0.03160207753619391,0.0,1.477054667734699
AFL,-0.4945212389676205,-0.1305639055607624,-0.41045928374095386,0.07315664696753241,0.0,0.9623877813018042
A,0.3757225878101062,-0.04641811457348166,0.6074554859967889,0.27726291446851853,0.0,-1.214022873701932
APD,-0.023459208895245894,-0.10163723163081408,0.13601348201201394,0.2405971179114551,0.0,-0.25151415939740907
ABNB,0.6082242986744874,0.025761577465205344,1.1811309327388477,0.06460129443755094,0.0,-1.8797181033160912
AKAM,-0.40544358373849015,-0.11442052490943071,-0.1289425928598354,0.13548850111454014,0.0,0.5133182003932162
ALB,-0.21380044118945873,-0.13844660637368353,-0.5989253402838094,-0.8972647685760781,0.0,1.8484371564230297
ARE,0.9034338614208182,-0.14655473173123568,0.7652746063400643,-0.8508214262704646,0.0,-0.6713323097591822
ALGN,0.3368829045960406,-0.07686107420147278,0.23823913104921643,0.14648824008165912,0.0,-0.6447492015254435
ALLE,-0.2398064908811944,-0.0341893949139537,-0.3096580298309206,0.1770430705458786,0.0,0.40661084508019013
LNT,-0.2724659890265392,-0.13360542802797834,-0.22486225638267895,0.18070965020158497,0.0,0.45022402323561156
ALL,-0.7133689698587246,-0.12164369052627919,-0.8639609853263895,-0.13706058662629758,0.0,1.8360342323376908
GOOGL,0.045681328195925505,-0.04409604015280314,0.645154081157708,-0.006285912239438245,0.0,-0.6404534569613922
GOOG,0.06019136734720328,-0.04329673492633578,0.6444802336453154,-0.005063719020869465,0.0,-0.6563111470453135
MO,-0.781402272908375,-0.16546052017675164,-0.09563505381840998,0.15137701295593425,0.0,0.8911208339476024
AMZN,0.8488021079553641,-0.02092164854305868,-0.24791895045037618,0.013269179257662236,0.0,-0.5932306882195916
AMCR,-0.4198081911790101,-0.10417000663825908,-0.7863957305298516,0.18559842307586008,0.0,1.1247755052712607
AEE,-0.32174648329888245,-0.13708017940419584,-0.35028711322620115,0.26748536871996825,0.0,0.5416284072093112
AAL,-1.0636217496972535,-0.16546052017675164,-1.00796455910854,-0.13461620018916,0.0,2.3716630291717054
AEP,-0.306931142182143,-0.1346120682254285,-0.4272857522018723,0.17582087732730986,0.0,0.693008085282134
AXP,-0.2526544234446304,-0.06653603321064251,-0.2934416488295427,-0.00017494614659434472,0.0,0.6128070516314099
AIG,-0.6758322431707776,-0.14515781048992546,-0.7795209271594281,-0.012396878332282119,0.0,1.6129078591524133
AMT,0.6431953588795525,0.20027529150240778,0.9516199792779182,-0.042951708796501606,0.0,-1.7521389208633769
AWK,0.25764891851832983,-0.12301778099475724,0.44406224756770546,0.268707561938537,0.0,-0.8474009470298152
AMP,-0.5947467056484298,-0.020957358296967394,-0.4093423323145003,-0.06250680029360207,0.0,1.0875531965534995
AME,0.16757451549700286,-0.09529481425288466,0.3651979651984426,0.19537596882441027,0.0,-0.6328536352669711
AMGN,-0.3215421813896211,0.3785210252382711,0.3513706686764718,0.19659816204297909,0.0,-0.6049476745681008
APH,1.014481539924617,-0.016697743690146764,0.4740400124869413,0.25770782297141803,0.0,-1.7295316316928295
ADI,0.5899543789780322,-0.11678569551052244,1.217593419152965,-3.0617689586613857,0.0,1.371006856040911
ANSS,0.7974550186104381,-0.07926996847066622,2.1253641202512945,0.5192571717451367,0.0,-3.3628063421362033
AON,-0.20804127569202566,-0.16546052017675164,0.10600580405284835,0.07682322662323875,0.0,0.19067276519269022
APA,-0.9561967506954374,-0.10733000367057668,-0.702088808895447,-0.2702796474502945,0.0,2.0358952107117556
AAPL,0.44392580531894454,0.4743107695142266,0.8346671683240056,0.17093210445303472,0.0,-1.9238358476102113
AMAT,0.16439873334313806,-0.007821058373025179,0.5922489731821498,0.07315664696753241,0.0,-0.8219832951197951
APTV,-0.6526343856493603,-0.1327210110233793,-0.7784354722588889,-0.08450627822784008,0.0,1.6482971471594685
ACGL,-0.5909901034199939,-0.13225012470387756,-0.401710276255834,-0.07717311891642742,0.0,1.2021236232961328
ADM,-0.6092067330315477,-0.1437471969783009,-0.9707557089465213,-0.4694971420770055,0.0,2.1932067810333753
ANET,1.1107870465512855,0.04249646223831016,3.026158328488621,0.10493367065032067,0.0,-4.284375507928537
AJG,0.2012664741615987,-0.08426168192775957,0.3294455732805866,0.141599467207384,0.0,-0.5880498327218098
AIZ,-0.6703082097102581,-0.13519822647806332,-0.8542850942169163,0.06460129443755094,0.0,1.5951902359676868
T,-0.8578558767069325,-0.1460097774169197,-0.8005885648946016,0.6316989478534644,0.0,1.1727552711649896
ATO,-0.21570479445905721,-0.14035124827672904,0.03894871070255134,0.14037727398881525,0.0,0.17673005804441969
