Ticker,dividendYield,returnOnEquity,freeCashflow,netProfitMargin,operatingCashFlow,Score
MMM,0.489974018235903,-0.17428220961585686,0.8214966905191615,0.0,0.0,1.1371884991392076
AOS,-0.23462605154570523,-0.05156557755374136,-0.2900348127184002,0.0,0.0,-0.5762264418178469
ABT,0.1493500209901835,-0.07188779001915002,0.25625153745312973,0.0,0.0,0.3337137684241632
ABBV,1.1526423395516991,-0.02135089070315684,2.756602198579714,0.0,0.0,3.8878936474282564
ACN,-0.1045696398803235,-0.05651425131637489,0.772192631788508,0.0,0.0,0.6111087405918096
ADBE,-1.1574072581238892,-0.05043988219266962,0.5356014148943823,0.0,0.0,-0.6722457254221766
AMD,-1.1574072581238892,-0.08741970565306129,-0.03604124229945831,0.0,0.0,-1.2808682060764087
AES,0.8120184042376044,-0.09167273891133021,-1.19376598113094,0.0,0.0,-0.4734203158046658
AFL,0.2422474578940274,-0.059781691747537655,0.2821867186837904,0.0,0.0,0.46465248483028015
A,-0.7796243294687696,-0.06434416793965701,-0.21513695255405377,0.0,0.0,-1.0591054499624803
APD,0.49616718069615917,-0.0702382333165572,-0.7132516599550929,0.0,0.0,-0.2873227125754909
ABNB,-1.1574072581238892,0.0013859626774511424,0.05455917492342663,0.0,0.0,-1.1014621205230115
AKAM,-1.1574072581238892,-0.07255053585327086,-0.2773438835151453,0.0,0.0,-1.5073016774923054
ALB,-0.4018413760409999,-0.08516709676772351,-0.6821357745398976,0.0,0.0,-1.1691442473486209
ARE,1.3755963739157984,-0.08784245067780308,-0.1562452094916689,0.0,0.0,1.1315087137463264
ALGN,-1.1574072581238892,-0.07431461378457739,-0.28710183883570034,0.0,0.0,-1.5188237107441669
ALLE,-0.20366023924442386,-0.034865326461131683,-0.29452618526900365,0.0,0.0,-0.5330517509745591
LNT,1.1278696897106741,-0.07693392658360795,-0.4909673825883098,0.0,0.0,0.5599683805387563
ALL,0.1865089957517211,-0.08099690713466232,0.6566267144700378,0.0,0.0,0.7621388030870966
GOOGL,-0.8787149474123572,-0.05361107810703079,6.894732979972517,0.0,0.0,5.962406954453129
GOOG,-0.8787149474123572,-0.05361107810703079,6.894732979972517,0.0,0.0,5.962406954453129
MO,4.112973995554196,-0.08987211352579606,1.4191402409233271,0.0,0.0,5.442242122951726
AMZN,-1.1574072581238892,-0.0651348361377424,7.184920854461592,0.0,0.0,5.962378760199961
AMCR,1.8586626742260401,-0.07044655883717181,-0.2506765155607917,0.0,0.0,1.5375395998280765
AEE,1.0659380651081114,-0.0772677366798565,-0.5091565326579506,0.0,0.0,0.4795137957703043
AAL,-1.1574072581238892,-0.08987211352579606,-0.30363227505679563,0.0,0.0,-1.550911646706481
AEP,1.195994476773493,-0.07608843677778133,-0.45149396737201614,0.0,0.0,0.6684120726236953
AXP,-0.4451935751944184,-0.04984536153811087,-0.34989455706707223,0.0,0.0,-0.8449334937996015
AIG,0.07503207146710829,-0.07566081873477681,0.5186621396855096,0.0,0.0,0.5180333924178411
AMT,0.9049156553465744,-0.06888228086789032,0.2888275693277827,0.0,0.0,1.1248609438064667
AWK,0.26082694527479633,-0.07792195573710273,-0.4753766849344162,0.0,0.0,-0.2924716953967226
AMP,-0.31513716352903676,-0.005376737484138906,0.10961998703810029,0.0,0.0,-0.2108939139750754
AME,-0.742465354707232,-0.07066463185625389,-0.19405770474221162,0.0,0.0,-1.0071876913056976
AMGN,0.6262235923615407,-0.0014550816505849759,0.15570136322737543,0.0,0.0,0.7804698739383311
APH,-0.742465354707232,-0.05887285112052519,-0.11341913606535313,0.0,0.0,-0.9147573418931103
ADI,-0.09218331495981104,-0.08035365264262131,0.043541050931860135,0.0,0.0,-0.12899591667057222
ANSS,-1.1574072581238892,-0.07948257885131581,-0.2612299908514574,0.0,0.0,-1.4981198278266625
AON,-0.5876363117803126,21.368186463764612,0.01850977149425319,0.0,0.0,20.799059923478552
APA,0.8491773789991418,0.05830545722791922,-0.18902088655312835,0.0,0.0,0.7184619496739327
AAPL,-0.8291696477303071,0.08952035608222655,10.79737492945039,0.0,0.0,10.05772563780231
AMAT,-0.6929200736046691,-0.034814156053603836,0.27583855748279246,0.0,0.0,-0.4518956721754805
APTV,-1.1574072581238892,-0.05423849489377532,-0.21059788324424894,0.0,0.0,-1.4222436362619135
ACGL,-1.1574072581238892,-0.0544809336133135,-0.21148596330360342,0.0,0.0,-1.423374155040806
ADM,0.8553705414593982,-0.07480801921881337,0.27379929683658644,0.0,0.0,1.054361819077171
ANET,-1.1574072581238892,-0.04760127808953419,-0.1493991225852042,0.0,0.0,-1.3544076587986278
AJG,-0.5814431493200564,-0.0773213412208599,-0.0022399901868534614,0.0,0.0,-0.6610044807277697
AIZ,-0.1417286146418611,-0.06985690766784922,-0.23228507633181564,0.0,0.0,-0.44387059864152595
T,2.7938303915196103,-0.0739917682535341,2.1460650887910235,0.0,0.0,4.8659037120571
ATO,0.5209397686055596,-0.07871140443188031,-0.553991789437884,0.0,0.0,-0.11176342526420469
ADSK,-1.1574072581238892,-0.01628769449352458,-0.11425786477760205,0.0,0.0,-1.2879528173950159
ADP,0.21747480805300248,0.018461439465659615,0.2840302916816885,0.0,0.0,0.5199665392003505
AZO,-1.1574072581238892,-0.08987211352579606,-0.163117483514581,0.0,0.0,-1.4103968551642663
AVB,0.9606543032837548,-0.07970308844044349,-0.1917471758826712,0.0,0.0,0.6892040389606401
AVY,-0.1912739143239114,-0.05807609027904074,-0.25364993211882814,0.0,0.0,-0.5029999367217802
