Ticker,marketCap,revenueGrowth,returnOnEquity,freeCashflow,pegRatio,Score
MMM,-0.13610688164043425,-0.24764804151747855,-0.17428220961585686,0.8214966905191615,-0.4914966200112434,0.7795218995200253
AOS,-0.2983959113546057,-0.17209567464360942,-0.05156557755374136,-0.2900348127184002,0.10615586386888941,-0.49355169207364413
ABT,0.30027949774150803,-0.12959746827705804,-0.07188779001915002,0.25625153745312973,0.1929315823872727,-0.5680422692489171
ABBV,0.7010202489401974,-0.20042781222131034,-0.02135089070315684,2.756602198579714,0.13548850111454014,1.4978869333791989
ACN,0.3350882997582322,-0.2382039956582449,-0.05651425131637489,0.772192631788508,0.26137440262712436,-0.3571923132297132
ADBE,0.4263962703892913,0.3001066183180726,-0.05043988219266962,0.5356014148943823,0.09515612490177042,0.5638223740467962
AMD,0.6013387779310232,-0.12959746827705804,-0.08741970565306129,-0.03604124229945831,0.08048980627894506,-1.0644844687166037
AES,-0.2893140387761306,-0.4601390733502354,-0.09167273891133021,-1.19376598113094,0.03160207753619391,-1.9480049055028044
AFL,-0.16464596303932988,0.39454707691040897,-0.059781691747537655,0.2821867186837904,0.07315664696753241,1.1029884968288681
A,-0.18246612867058154,-0.49791525678717,-0.06434416793965701,-0.21513695255405377,0.27726291446851853,-1.3701084198659879
APD,-0.1355632924245146,-0.6301318988164409,-0.0702382333165572,-0.7132516599550929,0.2405971179114551,-2.1487875163914727
ABNB,-0.014516124045313146,0.6070381087431658,0.0013859626774511424,0.05455917492342663,0.06460129443755094,1.2199361846949714
AKAM,-0.2915199043146792,0.13483581578148388,-0.07255053585327086,-0.2773438835151453,0.13548850111454014,0.07580861539469064
ALB,-0.2882938867645436,-2.466998818437384,-0.08516709676772351,-0.6821357745398976,-0.8972647685760781,-4.515741852841767
ARE,-0.26589363456064435,0.2245542514442035,-0.08784245067780308,-0.1562452094916689,-0.8508214262704646,1.321735903550044
ALGN,-0.2704277768941817,0.040395357189147496,-0.07431461378457739,-0.28710183883570034,0.14648824008165912,-0.15668620142946016
ALLE,-0.3043873726473235,-0.38458670647636634,-0.034865326461131683,-0.29452618526900365,0.1770430705458786,-0.971220622581423
LNT,-0.2957053157215694,-0.4365289587021513,-0.07693392658360795,-0.4909673825883098,0.18070965020158497,-1.3259635610562361
ALL,-0.18410620958559226,0.27177448074037164,-0.08099690713466232,0.6566267144700378,-0.13706058662629758,1.4403455650280084
GOOGL,7.414410483077165,0.49370955843236214,-0.05361107810703079,6.894732979972517,-0.006285912239438245,0.42041644789248295
GOOG,7.411331982587104,0.49370955843236214,-0.05361107810703079,6.894732979972517,-0.005063719020869465,0.42227275516397544
MO,-0.06184911682256965,-0.2807022020247963,-0.08987211352579606,1.4191402409233271,0.15137701295593425,0.6783358272145739
AMZN,6.485655616655178,0.3567708934734744,-0.0651348361377424,7.184920854461592,0.013269179257662236,1.334403009357958
AMCR,-0.29030649836962374,-0.5640235778018056,-0.07044655883717181,-0.2506765155607917,0.18559842307586008,-1.3444621547078108
AEE,-0.27223279722741867,-0.8190128160011138,-0.0772677366798565,-0.5091565326579506,0.26748536871996825,-2.219702472832584
AAL,-0.30869598475557297,-0.08709926191050667,-0.08987211352579606,-0.30363227505679563,-0.13461620018916,-0.12439072745887206
AEP,-0.16949682194333657,0.10178165527416612,-0.07608843677778133,-0.45149396737201614,0.17582087732730986,-0.3303431489854385
AXP,0.27748190008350654,0.23399829730343713,-0.04984536153811087,-0.34989455706707223,-0.00017494614659434472,-0.20905027793522102
AIG,-0.15314209891414549,0.49370955843236214,-0.07566081873477681,0.5186621396855096,-0.012396878332282119,1.5959594150618845
AMT,-0.020342882389481003,-0.1201534224178244,-0.06888228086789032,0.2888275693277827,-0.042951708796501606,0.04293303481022619
AWK,-0.25045950617131724,0.13483581578148388,-0.07792195573710273,-0.4753766849344162,0.268707561938537,-0.3018750648757709
AMP,-0.18985207347249072,0.3567708934734744,-0.005376737484138906,0.10961998703810029,-0.06250680029360207,1.070143910267003
AME,-0.20587391995733267,0.17733402214803523,-0.07066463185625389,-0.19405770474221162,0.19537596882441027,0.1004436588305273
AMGN,0.2524660567899026,0.8053630717870723,-0.0014550816505849759,0.15570136322737543,0.19659816204297909,1.3159082063180534
APH,-0.061574520958444255,0.21511020558496982,-0.05887285112052519,-0.11341913606535313,0.25770782297141803,0.0617951219710875
ADI,0.034129981206517744,-1.3053811777516462,-0.08035365264262131,0.043541050931860135,-3.0617689586613857,0.3800640202408143
ANSS,-0.24140161889401035,-0.6301318988164409,-0.07948257885131581,-0.2612299908514574,0.5192571717451367,-1.8788319201867818
AON,-0.11713204549372833,0.007341196681829726,21.368186463764612,0.01850977149425319,0.07682322662323875,21.44168744749301
APA,-0.30231911063241923,-0.2570920873767122,0.05830545722791922,-0.18902088655312835,-0.2702796474502945,-0.0723008459959198
AAPL,10.000678721735818,-0.4365289587021513,0.08952035608222655,10.79737492945039,0.17093210445303472,-0.15777345806053897
AMAT,0.28300810183108477,-0.22403792686939444,-0.034814156053603836,0.27583855748279246,0.07315664696753241,-0.5632162011082174
APTV,-0.26367747713418355,-0.15320758292514214,-0.05423849489377532,-0.21059788324424894,-0.08450627822784008,-0.22306778862628496
ACGL,-0.2083183906752718,0.9186916220978759,-0.0544809336133135,-0.21148596330360342,-0.07717311891642742,1.8569078568705342
ADM,-0.23479997488652796,-0.6679080822533755,-0.07480801921881337,0.27379929683658644,-0.4694971420770055,-0.43252776992544456
ANET,0.013089680663078106,0.5362077647989136,-0.04760127808953419,-0.1493991225852042,0.10493367065032067,0.75739177760969
