Ticker,dividendYield,dividendPayoutRatio,freeCashflow,netProfitMargin,returnOnEquity,Score
MMM,0.489974018235903,0.0,0.8214966905191615,0.0,-0.17428220961585686,1.6271625173751105
AOS,-0.23462605154570523,0.0,-0.2900348127184002,0.0,-0.05156557755374136,-0.810852493363552
ABT,0.1493500209901835,0.0,0.25625153745312973,0.0,-0.07188779001915002,0.4830637894143467
ABBV,1.1526423395516991,0.0,2.756602198579714,0.0,-0.02135089070315684,5.040535986979956
ACN,-0.1045696398803235,0.0,0.772192631788508,0.0,-0.05651425131637489,0.5065391007114862
ADBE,-1.1574072581238892,0.0,0.5356014148943823,0.0,-0.05043988219266962,-1.829652983546066
AMD,-1.1574072581238892,0.0,-0.03604124229945831,0.0,-0.08741970565306129,-2.438275464200298
AES,0.8120184042376044,0.0,-1.19376598113094,0.0,-0.09167273891133021,0.3385980884329386
AFL,0.2422474578940274,0.0,0.2821867186837904,0.0,-0.059781691747537655,0.7068999427243076
A,-0.7796243294687696,0.0,-0.21513695255405377,0.0,-0.06434416793965701,-1.83872977943125
APD,0.49616718069615917,0.0,-0.7132516599550929,0.0,-0.0702382333165572,0.20884446812066826
ABNB,-1.1574072581238892,0.0,0.05455917492342663,0.0,0.0013859626774511424,-2.2588693786469007
AKAM,-1.1574072581238892,0.0,-0.2773438835151453,0.0,-0.07255053585327086,-2.6647089356161944
ALB,-0.4018413760409999,0.0,-0.6821357745398976,0.0,-0.08516709676772351,-1.5709856233896209
ARE,1.3755963739157984,0.0,-0.1562452094916689,0.0,-0.08784245067780308,2.5071050876621244
ALGN,-1.1574072581238892,0.0,-0.28710183883570034,0.0,-0.07431461378457739,-2.6762309688680563
ALLE,-0.20366023924442386,0.0,-0.29452618526900365,0.0,-0.034865326461131683,-0.736711990218983
LNT,1.1278696897106741,0.0,-0.4909673825883098,0.0,-0.07693392658360795,1.6878380702494304
ALL,0.1865089957517211,0.0,0.6566267144700378,0.0,-0.08099690713466232,0.9486477988388178
GOOGL,-0.8787149474123572,0.0,6.894732979972517,0.0,-0.05361107810703079,5.083692007040772
GOOG,-0.8787149474123572,0.0,6.894732979972517,0.0,-0.05361107810703079,5.083692007040772
MO,4.112973995554196,0.0,1.4191402409233271,0.0,-0.08987211352579606,9.555216118505921
AMZN,-1.1574072581238892,0.0,7.184920854461592,0.0,-0.0651348361377424,4.8049715020760715
AMCR,1.8586626742260401,0.0,-0.2506765155607917,0.0,-0.07044655883717181,3.396202274054117
AEE,1.0659380651081114,0.0,-0.5091565326579506,0.0,-0.0772677366798565,1.5454518608784158
AAL,-1.1574072581238892,0.0,-0.30363227505679563,0.0,-0.08987211352579606,-2.70831890483037
AEP,1.195994476773493,0.0,-0.45149396737201614,0.0,-0.07608843677778133,1.8644065493971882
AXP,-0.4451935751944184,0.0,-0.34989455706707223,0.0,-0.04984536153811087,-1.2901270689940199
AIG,0.07503207146710829,0.0,0.5186621396855096,0.0,-0.07566081873477681,0.5930654638849493
AMT,0.9049156553465744,0.0,0.2888275693277827,0.0,-0.06888228086789032,2.0297765991530414
AWK,0.26082694527479633,0.0,-0.4753766849344162,0.0,-0.07792195573710273,-0.031644750121926274
AMP,-0.31513716352903676,0.0,0.10961998703810029,0.0,-0.005376737484138906,-0.5260310775041122
AME,-0.742465354707232,0.0,-0.19405770474221162,0.0,-0.07066463185625389,-1.7496530460129294
AMGN,0.6262235923615407,0.0,0.15570136322737543,0.0,-0.0014550816505849759,1.4066934662998718
APH,-0.742465354707232,0.0,-0.11341913606535313,0.0,-0.05887285112052519,-1.6572226966003423
ADI,-0.09218331495981104,0.0,0.043541050931860135,0.0,-0.08035365264262131,-0.22117923163038325
ANSS,-1.1574072581238892,0.0,-0.2612299908514574,0.0,-0.07948257885131581,-2.6555270859505518
AON,-0.5876363117803126,0.0,0.01850977149425319,0.0,21.368186463764612,20.21142361169824
APA,0.8491773789991418,0.0,-0.18902088655312835,0.0,0.05830545722791922,1.5676393286730743
AAPL,-0.8291696477303071,0.0,10.79737492945039,0.0,0.08952035608222655,9.228555990072003
AMAT,-0.6929200736046691,0.0,0.27583855748279246,0.0,-0.034814156053603836,-1.1448157457801498
APTV,-1.1574072581238892,0.0,-0.21059788324424894,0.0,-0.05423849489377532,-2.5796508943858028
ACGL,-1.1574072581238892,0.0,-0.21148596330360342,0.0,-0.0544809336133135,-2.5807814131646953
ADM,0.8553705414593982,0.0,0.27379929683658644,0.0,-0.07480801921881337,1.9097323605365693
ANET,-1.1574072581238892,0.0,-0.1493991225852042,0.0,-0.04760127808953419,-2.511814916922517
AJG,-0.5814431493200564,0.0,-0.0022399901868534614,0.0,-0.0773213412208599,-1.2424476300478262
AIZ,-0.1417286146418611,0.0,-0.23228507633181564,0.0,-0.06985690766784922,-0.585599213283387
T,2.7938303915196103,0.0,2.1460650887910235,0.0,-0.0739917682535341,7.65973410357671
ATO,0.5209397686055596,0.0,-0.553991789437884,0.0,-0.07871140443188031,0.4091763433413549
ADSK,-1.1574072581238892,0.0,-0.11425786477760205,0.0,-0.01628769449352458,-2.4453600755189053
ADP,0.21747480805300248,0.0,0.2840302916816885,0.0,0.018461439465659615,0.7374413472533531
AZO,-1.1574072581238892,0.0,-0.163117483514581,0.0,-0.08987211352579606,-2.5678041132881555
AVB,0.9606543032837548,0.0,-0.1917471758826712,0.0,-0.07970308844044349,1.6498583422443949
AVY,-0.1912739143239114,0.0,-0.25364993211882814,0.0,-0.05807609027904074,-0.6942738510456916
