Ticker,marketCap,revenueGrowth,returnOnEquity,freeCashflow,pegRatio,Score
ADBE,-0.05919294869140901,0.047673390688581646,0.10897105833976357,-0.015566675293664418,0.002426257439358222,0.2455178556753132
ADP,-0.2552715277981877,-0.09537691626381826,1.2403640771649163,-0.1327070590389542,0.08687920706583381,1.0852955063306793
ABNB,-0.2739708068705361,0.24550892158019852,0.9599764914653235,-0.23955690067517685,-0.03218560716165637,1.5175938479827362
GOOGL,3.3448182437156753,0.17246195632790923,0.05689848799594993,2.945469163427157,-0.11248513303601024,0.11495845339926011
GOOG,3.3433186402796986,0.17246195632790923,0.05689848799594993,2.945469163427157,-0.11110065845196965,0.11507358225119618
AMZN,2.8924018827754256,0.08419687331472629,-0.13232719117505787,3.0805908679446534,-0.09033353969136088,0.31458908031498306
AMD,0.026025288646829126,-0.22929635255968206,-0.4982555244527306,-0.2817436489213149,-0.014187437569128797,-1.25042972957111
AEP,-0.34946521976026224,-0.08015879850292469,-0.31219061029193396,-0.47519308390229364,0.09380157998603676,-0.6920376514258515
AMGN,-0.14391807599797518,0.37334111077170484,0.9133251698135814,-0.1924615321787456,0.11733764791472667,1.4941262872614942
ADI,-0.2502742484915353,-0.9871586170521837,-0.38222751723534215,-0.2446873276337355,-3.5736715931374694,1.2227137626555598
ANSS,-0.38449158435514846,-0.5519204490906265,-0.36792406437486325,-0.386599468951981,0.48283893810144074,-1.9567117852543898
AAPL,4.604644821483147,-0.4271318834512989,2.4071858485081625,4.762676837122659,0.08826368164987443,1.6226904155952024
AMAT,-0.1290403925825037,-0.29016882360325646,0.36555303735432154,-0.13652141926974587,-0.022494285073372276,-0.19977135146606131
ASML,0.2048200223093457,-0.9536787579782177,0.6673458502861818,-0.5098292451111982,-0.012802962985088212,-1.9418579701057093
AZN,-0.01985750674109376,0.20594181540187517,-0.19268176079752647,0.10356549912992104,-0.07925774301903622,0.4218826188962749
TEAM,-0.3530434927941276,0.6137873713938238,-0.9174367169965371,-0.3514486849704436,-0.030801132577615787,0.3425339661924104
ADSK,-0.3521100259487657,0.053760637792939096,0.6697664946309042,-0.31816406576146167,0.037038122040372816,0.7741956083637136
BKR,-0.3758359594064171,0.07810962621036885,-0.2947663840752486,-0.31330137359892607,-0.2080138793348105,0.13200133348779072
BIIB,-0.3759056472438239,-0.5093097193601245,-0.3774863727207498,-0.3727533580951715,0.3637741238739506,-1.756727646166297
BKNG,-0.21626591751042343,0.2181163096105901,-0.5385252475834851,-0.05969085644033901,-0.1401746247168219,0.19445705742460145
AVGO,0.6850215782996921,0.20289819184969646,-0.043425730319157856,0.7262659938070453,0.014886528695723456,0.38872854019186476
CDNS,-0.2979853873365493,-0.3327795533337586,0.10509016148937586,-0.36217310126350033,0.10487737665836144,-0.7295340357634539
CDW,-0.3819861999172334,-0.43321913055565636,0.6380387755440814,-0.34187027523114,0.11318422416260489,-0.3014677850437428
CHTR,-0.36594984190150914,-0.29016882360325646,0.2134363163038571,-0.2310261328092728,-0.10971618386792907,-0.12226143794249043
CTAS,-0.312467868197743,0.005062660958079546,0.22607936834276995,-0.3443267417886126,0.2419403604783792,-0.037594543810319736
CSCO,-0.09644809067026155,-0.6858398853864903,0.011947636838612549,0.43548450373528486,0.20594402129332406,-1.033743560822146
CCEP,-0.37380554886631123,-0.1988601170378948,-0.10556072973824547,-0.32436687475337805,0.017655477863804624,-0.4714977675649065
CTSH,-0.3748376781229178,-0.32973592978157984,-0.21846798560473962,-0.3167550371965142,0.043960494960575705,-0.8638176992020715
CMCSA,-0.16734864247270856,-0.25973258808146926,-0.17579768497340864,0.9810941267557527,-0.12494540429237547,0.5781253123844895
CEG,-0.3177408082328133,-0.8623700514128562,-0.12192468000380047,-0.4848817108581717,-0.12771435346045665,-1.8860913319944146
CPRT,-0.3433193210051586,0.017237155166794402,-0.1043004255001893,-0.3933603979169386,-0.0391079800818593,-0.08075921199652118
CSGP,-0.3721681717747719,0.07810962621036885,-0.4562253843564642,-0.4260243424817901,0.7098927698840966,-1.0637550725268414
COST,0.17680742558861406,-0.12276952823342677,0.08550539371690782,-0.18560780997040754,0.40669283597920863,-0.9291417342881758
CRWD,-0.2884193617842343,0.6959652073026493,-0.443762371779165,-0.3665875142741087,0.13118239375513252,0.7388174965811268
CSX,-0.3206140581133226,-0.317561435572865,0.04245500133124249,-0.28606262999953297,-0.012802962985088212,-0.5453134787156096
DDOG,-0.3644957400654019,0.5224786648284623,-0.414355278892636,-0.38981249038513255,0.4703786668450755,0.13490663359948235
DXCM,-0.343596066286432,0.4403008289196367,0.032432621923977764,-0.39576117362939595,0.009348630359561115,0.8515205420607259
FANG,-0.37299310536018715,0.2333344273714836,-0.14020911387503213,-0.37229695507455435,-0.007265064648925872,0.3344209558024937
DLTR,-0.38970019197557265,0.06593513200165395,-0.7871852742348887,-0.3925556252144504,-0.018340861321250523,-0.639829582149208
DASH,-0.35090097634937434,0.41899546405438565,-0.6649957776309648,-0.32615879944212867,2.336650406131782,-2.13891307874673
EA,-0.37489555284049564,-0.4514808718687287,-0.19452220508167203,-0.31255091162476456,-0.07648879385095506,-0.9586505137524433
EXC,-0.3672338036223241,-0.034504445220243866,-0.35720147593679785,-0.5962718501826221,0.24747825881454155,-0.9027266717521251
FAST,-0.36819011696346077,-0.23842722321621818,0.15276158939526385,-0.3675292165085113,0.41776863265153336,-0.7412005892337563
FTNT,-0.35278743908007937,-0.07711517495074596,-0.5385252475834851,-0.334563984530939,0.0481139187126975,-0.7226460616485342
