Ticker,currentRatio,quickRatio,operatingCashFlow,freeCashflow,cashConversionCycle,Score
ADBE,-0.5919827365585333,-0.3730535712164482,0.0,-0.015566675293664418,0.0,-0.9806029830686459
ADP,-0.6162976029238899,-0.9558618458078667,0.0,-0.1327070590389542,0.0,-1.7048665077707108
ABNB,-0.3265454454033904,-0.46970741873532207,0.0,-0.23955690067517685,0.0,-1.0358097648138893
GOOGL,0.1509715134940294,0.385029964174122,0.0,2.945469163427157,0.0,3.4814706410953082
GOOG,0.1509715134940294,0.385029964174122,0.0,2.945469163427157,0.0,3.4814706410953082
AMZN,-0.5764482386028886,-0.44662590290991944,0.0,3.0805908679446534,0.0,2.0575167264318455
AMD,0.48192386124471626,0.1924435665059182,0.0,-0.2817436489213149,0.0,0.3926237788293195
AEP,-0.9384695822648647,-0.8491098351153791,0.0,-0.47519308390229364,0.0,-2.2627725012825373
AMGN,-0.3400537044952552,-0.4415768213231126,0.0,-0.1924615321787456,0.0,-0.9740920579971134
ADI,-0.27994195153645696,-0.4278721713017797,0.0,-0.2446873276337355,0.0,-0.9525014504719721
ANSS,0.5933669987526007,0.9022001781370513,0.0,-0.386599468951981,0.0,1.1089677079376712
AAPL,-0.6000876920136521,-0.413446223910903,0.0,4.762676837122659,0.0,3.749142921198104
AMAT,0.5899899339796345,0.24798346396079346,0.0,-0.13652141926974587,0.0,0.7014519786706821
ASML,-0.26170580176243946,-0.4985593135170755,0.0,-0.5098292451111982,0.0,-1.270094360390713
AZN,-0.702075048157231,-0.5389519662115303,0.0,0.10356549912992104,0.0,-1.13746151523884
TEAM,-0.5028282265522257,-0.23023669204676897,0.0,-0.3514486849704436,0.0,-1.0845136035694383
ADSK,-0.7446260642966052,-0.5266899109292851,0.0,-0.31816406576146167,0.0,-1.589480040987352
BKR,-0.4589263845036652,-0.5194769372338467,0.0,-0.31330137359892607,0.0,-1.291704695336438
BIIB,0.1151746269005878,-0.25908858682852237,0.0,-0.3727533580951715,0.0,-0.5166673180231061
BKNG,-0.47918877314146235,-0.21797463676452386,0.0,-0.05969085644033901,0.0,-0.7568542663463252
AVGO,-0.39881463154486696,-0.44878979501855093,0.0,0.7262659938070453,0.0,-0.12133843275637268
CDNS,-0.41097206472754527,-0.25908858682852237,0.0,-0.36217310126350033,0.0,-1.032233752819568
CDW,-0.44879519018476666,-0.26413766841532915,0.0,-0.34187027523114,0.0,-1.0548031338312358
CHTR,-1.0289749181803585,-0.8029468034645738,0.0,-0.2310261328092728,0.0,-2.062947854454205
CTAS,0.3063164930504743,-0.2569246947198908,0.0,-0.3443267417886126,0.0,-0.2949349434580291
CSCO,-0.6959963315658919,-0.5526566162328631,0.0,0.43548450373528486,0.0,-0.8131684440634701
CCEP,-0.6872159631561799,-0.5504927241242316,0.0,-0.32436687475337805,0.0,-1.5620755620337896
CTSH,0.28875575623105026,0.4081114799995246,0.0,-0.3167550371965142,0.0,0.38011219903406057
CMCSA,-0.8986202179438636,-0.692588305924367,0.0,0.9810941267557527,0.0,-0.6101143971124778
CEG,-0.33532581381310245,-0.5851149978623357,0.0,-0.4848817108581717,0.0,-1.40532252253361
CPRT,3.6732500716977694,3.9951232987410146,0.0,-0.3933603979169386,0.0,7.2750129725218455
CSGP,4.839688244280292,5.435554145720053,0.0,-0.4260243424817901,0.0,9.849218047518553
COST,-0.6743831170189083,-0.7719310165741889,0.0,-0.18560780997040754,0.0,-1.6319219435635046
CRWD,-0.1090624740243675,0.11237955848655257,0.0,-0.3665875142741087,0.0,-0.3632704298119236
CSX,-0.5251168540538026,-0.35646373171694007,0.0,-0.28606262999953297,0.0,-1.1676432157702756
DDOG,1.0141492694641885,1.3522897367324043,0.0,-0.38981249038513255,0.0,1.9766265158114602
DXCM,0.6568558164843653,0.7117776725774791,0.0,-0.39576117362939595,0.0,0.9728723154324483
FANG,-0.679111007701061,-0.41849530549770986,0.0,-0.37229695507455435,0.0,-1.469903268273325
DLTR,-0.4184016072280708,-0.9392720063083586,0.0,-0.3925556252144504,0.0,-1.7502292387508798
DASH,-0.19416450630311566,-0.0744364602253007,0.0,-0.32615879944212867,0.0,-0.594759765970545
EA,-0.37247352631573055,-0.1508939813969471,0.0,-0.31255091162476456,0.0,-0.8359184193374422
EXC,-0.6048155826958047,-0.6550808427080876,0.0,-0.5962718501826221,0.0,-1.8561682755865145
FAST,1.9644552965768751,0.5956487960809218,0.0,-0.3675292165085113,0.0,2.1925748761492856
FTNT,-0.48999538041495416,-0.2814488052843812,0.0,-0.334563984530939,0.0,-1.1060081702302744
GEHC,-0.585904019967194,-0.5173130451252153,0.0,-0.3183019127573112,0.0,-1.4215189778497204
GILD,-0.5717203479207361,-0.4502323897576386,0.0,0.11650716698213502,0.0,-0.9054455706962395
GFS,0.16988307622264012,0.09867490846521962,0.0,-0.39116573792698567,0.0,-0.12260775323912593
HON,-0.17660376948369144,-0.1840736603959635,0.0,-0.1536595201114848,0.0,-0.5143369499911398
IDXX,-0.2400925872154558,-0.30885810532704694,0.0,-0.38297403571766253,0.0,-0.9319247282601653
ILMN,-0.11716742947948637,-0.1840736603959635,0.0,-0.3849935620364565,0.0,-0.6862346519119065
INTC,-0.24279423903382874,-0.334824810630625,0.0,-1.336718442999905,0.0,-1.9143374926643588
INTU,-0.5075561172343784,-0.7495707981183299,0.0,-0.17815677953248593,0.0,-1.4352836948851941
ISRG,2.4487263850202274,2.1341760853179212,0.0,-0.3954540957057816,0.0,4.187448374632367
