Ticker,dividendYield,dividendPayoutRatio,freeCashflow,netProfitMargin,returnOnEquity,Score
ADBE,-0.7849849877175775,0.0,-0.015566675293664418,0.0,0.10897105833976357,-1.476565592389056
ADP,0.8590401655637543,0.0,-0.1327070590389542,0.0,1.2403640771649163,2.8257373492534708
ABNB,-0.7849849877175775,0.0,-0.23955690067517685,0.0,0.9599764914653235,-0.8495503846450083
GOOGL,-0.45173664583622647,0.0,2.945469163427157,0.0,0.05689848799594993,2.0988943597506537
GOOG,-0.45173664583622647,0.0,2.945469163427157,0.0,0.05689848799594993,2.0988943597506537
AMZN,-0.7849849877175775,0.0,3.0805908679446534,0.0,-0.13232719117505787,1.3782937013344405
AMD,-0.7849849877175775,0.0,-0.2817436489213149,0.0,-0.4982555244527306,-2.3499691488092007
AEP,2.02911212150272,0.0,-0.47519308390229364,0.0,-0.31219061029193396,3.2708405488112122
AMGN,1.347804474378256,0.0,-0.1924615321787456,0.0,0.9133251698135814,3.4164725863913477
ADI,0.4887642301400309,0.0,-0.2446873276337355,0.0,-0.38222751723534215,0.3506136154109842
ANSS,-0.7849849877175775,0.0,-0.386599468951981,0.0,-0.36792406437486325,-2.324493508761999
AAPL,-0.39249249616843074,0.0,4.762676837122659,0.0,2.4071858485081625,6.38487769329396
AMAT,-0.22957108458199246,0.0,-0.13652141926974587,0.0,0.36555303735432154,-0.23011055107940925
ASML,-0.2517876184908597,0.0,-0.5098292451111982,0.0,0.6673458502861818,-0.3460586318067358
AZN,0.6146580481840969,0.0,0.10356549912992104,0.0,-0.19268176079752647,1.1401998347005884
TEAM,-0.7849849877175775,0.0,-0.3514486849704436,0.0,-0.9174367169965371,-2.838855377402136
ADSK,-0.7849849877175775,0.0,-0.31816406576146167,0.0,0.6697664946309042,-1.2183675465657124
BKR,1.073800208109514,0.0,-0.31330137359892607,0.0,-0.2947663840752486,1.5395326585448532
BIIB,-0.7849849877175775,0.0,-0.3727533580951715,0.0,-0.3774863727207498,-2.3202097062510765
BKNG,-0.08886622912097755,0.0,-0.05969085644033901,0.0,-0.5385252475834851,-0.7759485622657791
AVGO,0.3332483002344736,0.0,0.7262659938070453,0.0,-0.043425730319157856,1.3493368639568346
CDNS,-0.7849849877175775,0.0,-0.36217310126350033,0.0,0.10509016148937586,-1.8270529152092796
CDW,0.037027588923088404,0.0,-0.34187027523114,0.0,0.6380387755440814,0.3702236781591182
CHTR,-0.7849849877175775,0.0,-0.2310261328092728,0.0,0.2134363163038571,-1.5875597919405708
CTAS,-0.20735452845656907,0.0,-0.3443267417886126,0.0,0.22607936834276995,-0.5329564303589808
CSCO,1.6736472234959456,0.0,0.43548450373528486,0.0,0.011947636838612549,3.7947265875657887
CCEP,1.2663436945298499,0.0,-0.32436687475337805,0.0,-0.10556072973824547,2.102759784568076
CTSH,0.5109807862654544,0.0,-0.3167550371965142,0.0,-0.21846798560473962,0.48673854972965497
CMCSA,1.5551590722707285,0.0,0.9810941267557527,0.0,-0.17579768497340864,3.9156145863238008
CEG,-0.2962207233361878,0.0,-0.4848817108581717,0.0,-0.12192468000380047,-1.1992478375343478
CPRT,-0.7849849877175775,0.0,-0.3933603979169386,0.0,-0.1043004255001893,-2.067630798852283
CSGP,-0.7849849877175775,0.0,-0.4260243424817901,0.0,-0.4562253843564642,-2.4522197022734096
COST,-0.3554649026260584,0.0,-0.18560780997040754,0.0,0.08550539371690782,-0.8110322215056166
CRWD,-0.7849849877175775,0.0,-0.3665875142741087,0.0,-0.443762371779165,-2.3803198614884287
CSX,0.27400418759427136,0.0,-0.28606262999953297,0.0,0.04245500133124249,0.30440074652025223
DDOG,-0.7849849877175775,0.0,-0.38981249038513255,0.0,-0.414355278892636,-2.3741377447129235
DXCM,-0.7849849877175775,0.0,-0.39576117362939595,0.0,0.032432621923977764,-1.9332985271405734
FANG,2.6807977678484733,0.0,-0.37229695507455435,0.0,-0.14020911387503213,4.84908946674736
DLTR,-0.7849849877175775,0.0,-0.3925556252144504,0.0,-0.7871852742348887,-2.749710874884494
DASH,-0.7849849877175775,0.0,-0.32615879944212867,0.0,-0.6649957776309648,-2.5611245525082484
EA,-0.34805939872862135,0.0,-0.31255091162476456,0.0,-0.19452220508167203,-1.203191914163679
EXC,2.1327893834213625,0.0,-0.5962718501826221,0.0,-0.35720147593679785,3.3121054407233053
FAST,0.9553119087739224,0.0,-0.3675292165085113,0.0,0.15276158939526385,1.6958561904345972
FTNT,-0.7849849877175775,0.0,-0.334563984530939,0.0,-0.5385252475834851,-2.443059207549579
GEHC,-0.6739022070904606,0.0,-0.3183019127573112,0.0,-0.09057711268579967,-1.756683439624032
GILD,2.584526246803866,0.0,0.11650716698213502,0.0,-0.4906937010248764,4.794865959564991
GFS,-0.7849849877175775,0.0,-0.39116573792698567,0.0,-0.37222511265000924,-2.33336082601215
HON,0.7701739410620607,0.0,-0.1536595201114848,0.0,0.12559511139425827,1.512283473406895
IDXX,-0.7849849877175775,0.0,-0.38297403571766253,0.0,0.9001020377430667,-1.052841973409751
ILMN,-0.7849849877175775,0.0,-0.3849935620364565,0.0,-0.9538455060959381,-2.9088090435675493
INTC,0.3776815235681011,0.0,-1.336718442999905,0.0,-0.4626269256916568,-1.0439823215553596
INTU,-0.38508697745995624,0.0,-0.17815677953248593,0.0,-0.20012353724598148,-1.1484542716983799
ISRG,-0.7849849877175775,0.0,-0.3954540957057816,0.0,-0.22212886934385523,-2.187552940484792
KDP,1.1034222829434115,0.0,-0.4036326103512348,0.0,-0.3641831613190456,1.4390287942165425
