Ticker,dividendYield,returnOnEquity,freeCashflow,netProfitMargin,operatingCashFlow,Score
ADBE,-0.7849849877175775,0.10897105833976357,-0.015566675293664418,0.0,0.0,-0.6915806046714783
ADP,0.8590401655637543,1.2403640771649163,-0.1327070590389542,0.0,0.0,1.9666971836897167
ABNB,-0.7849849877175775,0.9599764914653235,-0.23955690067517685,0.0,0.0,-0.06456539692743088
GOOGL,-0.45173664583622647,0.05689848799594993,2.945469163427157,0.0,0.0,2.5506310055868804
GOOG,-0.45173664583622647,0.05689848799594993,2.945469163427157,0.0,0.0,2.5506310055868804
AMZN,-0.7849849877175775,-0.13232719117505787,3.0805908679446534,0.0,0.0,2.163278689052018
AMD,-0.7849849877175775,-0.4982555244527306,-0.2817436489213149,0.0,0.0,-1.564984161091623
AEP,2.02911212150272,-0.31219061029193396,-0.47519308390229364,0.0,0.0,1.2417284273084923
AMGN,1.347804474378256,0.9133251698135814,-0.1924615321787456,0.0,0.0,2.0686681120130914
ADI,0.4887642301400309,-0.38222751723534215,-0.2446873276337355,0.0,0.0,-0.13815061472904674
ANSS,-0.7849849877175775,-0.36792406437486325,-0.386599468951981,0.0,0.0,-1.5395085210444217
AAPL,-0.39249249616843074,2.4071858485081625,4.762676837122659,0.0,0.0,6.777370189462391
AMAT,-0.22957108458199246,0.36555303735432154,-0.13652141926974587,0.0,0.0,-0.0005394664974167906
ASML,-0.2517876184908597,0.6673458502861818,-0.5098292451111982,0.0,0.0,-0.09427101331587612
AZN,0.6146580481840969,-0.19268176079752647,0.10356549912992104,0.0,0.0,0.5255417865164914
TEAM,-0.7849849877175775,-0.9174367169965371,-0.3514486849704436,0.0,0.0,-2.0538703896845583
ADSK,-0.7849849877175775,0.6697664946309042,-0.31816406576146167,0.0,0.0,-0.433382558848135
BKR,1.073800208109514,-0.2947663840752486,-0.31330137359892607,0.0,0.0,0.4657324504353393
BIIB,-0.7849849877175775,-0.3774863727207498,-0.3727533580951715,0.0,0.0,-1.5352247185334988
BKNG,-0.08886622912097755,-0.5385252475834851,-0.05969085644033901,0.0,0.0,-0.6870823331448016
AVGO,0.3332483002344736,-0.043425730319157856,0.7262659938070453,0.0,0.0,1.0160885637223611
CDNS,-0.7849849877175775,0.10509016148937586,-0.36217310126350033,0.0,0.0,-1.042067927491702
CDW,0.037027588923088404,0.6380387755440814,-0.34187027523114,0.0,0.0,0.33319608923602984
CHTR,-0.7849849877175775,0.2134363163038571,-0.2310261328092728,0.0,0.0,-0.8025748042229932
CTAS,-0.20735452845656907,0.22607936834276995,-0.3443267417886126,0.0,0.0,-0.32560190190241173
CSCO,1.6736472234959456,0.011947636838612549,0.43548450373528486,0.0,0.0,2.121079364069843
CCEP,1.2663436945298499,-0.10556072973824547,-0.32436687475337805,0.0,0.0,0.8364160900382263
CTSH,0.5109807862654544,-0.21846798560473962,-0.3167550371965142,0.0,0.0,-0.024242236535799433
CMCSA,1.5551590722707285,-0.17579768497340864,0.9810941267557527,0.0,0.0,2.3604555140530725
CEG,-0.2962207233361878,-0.12192468000380047,-0.4848817108581717,0.0,0.0,-0.9030271141981601
CPRT,-0.7849849877175775,-0.1043004255001893,-0.3933603979169386,0.0,0.0,-1.2826458111347054
CSGP,-0.7849849877175775,-0.4562253843564642,-0.4260243424817901,0.0,0.0,-1.667234714555832
COST,-0.3554649026260584,0.08550539371690782,-0.18560780997040754,0.0,0.0,-0.4555673188795581
CRWD,-0.7849849877175775,-0.443762371779165,-0.3665875142741087,0.0,0.0,-1.595334873770851
CSX,0.27400418759427136,0.04245500133124249,-0.28606262999953297,0.0,0.0,0.030396558925980866
DDOG,-0.7849849877175775,-0.414355278892636,-0.38981249038513255,0.0,0.0,-1.589152756995346
DXCM,-0.7849849877175775,0.032432621923977764,-0.39576117362939595,0.0,0.0,-1.1483135394229957
FANG,2.6807977678484733,-0.14020911387503213,-0.37229695507455435,0.0,0.0,2.1682916988988867
DLTR,-0.7849849877175775,-0.7871852742348887,-0.3925556252144504,0.0,0.0,-1.9647258871669167
DASH,-0.7849849877175775,-0.6649957776309648,-0.32615879944212867,0.0,0.0,-1.776139564790671
EA,-0.34805939872862135,-0.19452220508167203,-0.31255091162476456,0.0,0.0,-0.855132515435058
EXC,2.1327893834213625,-0.35720147593679785,-0.5962718501826221,0.0,0.0,1.1793160573019426
FAST,0.9553119087739224,0.15276158939526385,-0.3675292165085113,0.0,0.0,0.7405442816606749
FTNT,-0.7849849877175775,-0.5385252475834851,-0.334563984530939,0.0,0.0,-1.6580742198320015
GEHC,-0.6739022070904606,-0.09057711268579967,-0.3183019127573112,0.0,0.0,-1.0827812325335715
GILD,2.584526246803866,-0.4906937010248764,0.11650716698213502,0.0,0.0,2.210339712761125
GFS,-0.7849849877175775,-0.37222511265000924,-0.39116573792698567,0.0,0.0,-1.5483758382945725
HON,0.7701739410620607,0.12559511139425827,-0.1536595201114848,0.0,0.0,0.7421095323448342
IDXX,-0.7849849877175775,0.9001020377430667,-0.38297403571766253,0.0,0.0,-0.2678569856921733
ILMN,-0.7849849877175775,-0.9538455060959381,-0.3849935620364565,0.0,0.0,-2.123824055849972
INTC,0.3776815235681011,-0.4626269256916568,-1.336718442999905,0.0,0.0,-1.4216638451234607
INTU,-0.38508697745995624,-0.20012353724598148,-0.17815677953248593,0.0,0.0,-0.7633672942384235
ISRG,-0.7849849877175775,-0.22212886934385523,-0.3954540957057816,0.0,0.0,-1.4025679527672144
KDP,1.1034222829434115,-0.3641831613190456,-0.4036326103512348,0.0,0.0,0.33560651127313107
