Ticker,forwardPE,priceToBook,priceToSalesTrailing12Months,pegRatio,enterpriseValueToEBITDA,Score
ADBE,-0.08804838547930079,0.17609697277215489,0.5521570255855275,0.002426257439358222,0.0,-0.6426318703177398
ADP,-0.019836956921801433,0.7007136899661252,-0.3373945944546581,0.08687920706583381,0.0,-0.43036134565549944
ABNB,0.1267479505791961,0.0201720670392512,0.2501772165791591,-0.03218560716165637,0.0,-0.36491162703595004
GOOGL,-0.22791360615978032,-0.25456073022472514,-0.10649908600994314,-0.11248513303601024,0.0,0.7014585554304589
GOOG,-0.2187655884192728,-0.2514172597168147,-0.10694751104643502,-0.11110065845196965,0.0,0.6882310176344921
AMZN,0.2784229422404064,-0.1634215581640587,-0.7008120417212208,-0.09033353969136088,0.0,0.6761441973362339
AMD,0.15977197579955302,-0.42835698561023366,0.6830712861472996,-0.014187437569128797,0.0,-0.4002988387674902
AEP,-0.4502221127676819,-0.6105379656007904,-0.8201751960575067,0.09380157998603676,0.0,1.787133694439942
AMGN,-0.45943380713209653,1.4074880556538767,-0.3020030168545261,0.11733764791472667,0.0,-0.7633888795819809
ADI,0.11522947376749838,-0.5404312341085066,0.27444189293416743,-3.5736715931374694,0.0,3.7244314605443103
ANSS,0.24605059097700935,-0.39289112348792166,0.8785357009247785,0.48283893810144074,0.0,-1.2145341065153068
AAPL,0.023164113465786076,1.784205517420711,0.019616112852312784,0.08826368164987443,0.0,-1.9152494253886843
AMAT,-0.15306687989866752,-0.11190016499398253,-0.1417058272061955,-0.022494285073372276,0.0,0.4291671571722178
ASML,0.1202605866896868,0.9590016919517893,1.091901388051265,-0.012802962985088212,0.0,-2.1583607037076527
AZN,-0.5404862997266492,-0.5279564724796508,-0.40895967383274495,-0.07925774301903622,0.0,1.5566601890580811
TEAM,1.2778430778367202,1.9138949882969558,0.612301138319124,-0.030801132577615787,0.0,-3.7732380718751846
ADSK,-0.06034879022633912,0.9039309627859333,0.18083145831980768,0.037038122040372816,0.0,-1.0614517529197747
BKR,-0.5591583922859382,-0.5928526589959653,-1.025380436631348,-0.2080138793348105,0.0,2.3854053672480617
BIIB,-0.5486343789915287,-0.5904115242287735,-0.664530084804093,0.3637741238739506,0.0,1.4398018641504446
BKNG,-0.3408291469653965,-0.7318573261062309,-0.2950096608787735,-0.1401746247168219,0.0,1.5078707586672229
AVGO,-0.055228362923518765,0.7783270036486818,1.502790771002194,0.014886528695723456,0.0,-2.2407759404230805
CDNS,0.7063042611143304,0.6801949205021703,1.9372246499851582,0.10487737665836144,0.0,-3.4286012082600203
CDW,-0.24966075634450666,0.16896394451061766,-1.0024997940616336,0.11318422416260489,0.0,0.9700123817329178
CHTR,-0.7769029384411018,-0.5195854775630898,-1.1180269755788703,-0.10971618386792907,0.0,2.5242315754509907
CTAS,0.7174684267666226,0.3310700303536278,-0.007775716868064375,0.2419403604783792,0.0,-1.2827031007305651
CSCO,-0.5432788143212837,-0.45917539304785593,-0.6564677368880341,0.20594402129332406,0.0,1.4529779229638495
CCEP,-0.4330567771167062,-0.4568900601191614,-0.9236113995474748,0.017655477863804624,0.0,1.7959027589195378
CTSH,-0.5220672425913663,-0.5694822934848648,-0.9448957576564622,0.043960494960575705,0.0,1.9924847987721177
CMCSA,-0.7470814780084877,-0.6118635407442571,-1.0284863995057323,-0.12494540429237547,0.0,2.5123768225508525
CEG,-0.009345089768328319,-0.3476363844690246,-0.7661294168447819,-0.12771435346045665,0.0,1.2508252445425914
CPRT,0.347728658856816,-0.2633333537831751,0.8347145229599386,-0.0391079800818593,0.0,-0.8800018479517202
CSGP,1.8744460779376777,-0.41929976906913374,1.0914973362651252,0.7098927698840966,0.0,-3.2565364150177656
COST,0.876117591866134,0.3579948981205083,-1.002992147792723,0.40669283597920863,0.0,-0.6378131781731278
CRWD,1.9728886873041318,1.5957990018371666,3.296454364608199,0.13118239375513252,0.0,-6.99632444750463
CSX,-0.4556224005915964,-0.39848856749600237,-0.499262383120098,-0.012802962985088212,0.0,1.3661763141927852
DDOG,1.647328139250899,0.43511600695762137,1.6922480849787276,0.4703786668450755,0.0,-4.245070898032323
DXCM,1.42433497700929,0.7526014645526039,1.025889468653265,0.009348630359561115,0.0,-3.2121745405747197
FANG,-0.706835564969672,-0.5985476017396111,-0.5350069709196935,-0.007265064648925872,0.0,1.8476552022779027
DLTR,-0.4994936595384877,-0.5078091801848286,-1.0988106908417776,-0.018340861321250523,0.0,2.1244543918863443
DASH,2.999544519876063,-0.29253136954046155,-0.36895173048334123,2.336650406131782,0.0,-4.674711825984042
EA,-0.4629011927963365,-0.44085700807117545,-0.4928897751634675,-0.07648879385095506,0.0,1.4731367698819346
EXC,-0.48166660151303636,-0.6369654430329715,-0.950483066104538,0.24747825881454155,0.0,1.8216368518360042
FAST,0.1382416691455486,-0.021113208798104872,-0.38841708169838596,0.41776863265153336,0.0,-0.14648001130059113
FTNT,0.24657878153622698,-0.7318573261062309,0.19547051467909005,0.0481139187126975,0.0,0.24169411117821638
GEHC,-0.37542749755583005,-0.40864533210067727,-0.920950420518739,-0.04464587841802163,0.0,1.7496691285932682
GILD,-0.7151892520073949,-0.42348249751461003,-0.7304759465099173,0.1907148008688776,0.0,1.6784328951630445
GFS,0.04279973272957401,-0.5611310149650297,-0.5415753151287132,0.2876280217517184,0.0,0.7722785756124504
HON,-0.29842601238945515,-0.2093717232111677,-0.6381117498618538,0.0716499866413874,0.0,1.0742594988210894
IDXX,0.7665183366696858,1.1081827054586664,0.747392411824082,0.29039697091979966,0.0,-2.912490424872234
